max_tokens,lr,max_update,update_freq,freeze_finetune_updates,mask_prob,mask_channel_prob,activation_dropout,WER,LOSS
560000,"0,0001",10000,10,2000,"0,25","0,5","0,1","81,054",
560000,"0,0001",10000,10,1000,"0,25","0,5","0,1","80,963",
960000,"0,0001",90000,5,8000,"0,4","0,5","0,1","81,414","117,684"
960000,"0,0001",90000,5,8000,"0,4","0,5","0,1","80,598","117,988"
960000,"0,0001",90000,5,8000,"0,69","0,3","0,2","81,142","117,811"
960000,"0,0001",90000,5,5000,"0,69","0,3","0,2","80,598","117,111"
960000,"0,0001",90000,5,3000,"0,69","0,3","0,2","81,233","117,773"
960000,"0,0001",90000,5,8000,"0,25","0,3","0,2","80,87","117,43"
960000,"0,00001",90000,5,8000,"0,25","0,3","0,2","82,276","124,124"
960000,"0,0001",90000,5,8000,"0,25","0,2","0,2","81,958","117,213"
960000,"0,0001",90000,5,8000,"0,3","0,2","0,2","81,097","114,474"
960000,"0,0001",90000,5,8000,"0,25","0,3","0,2","81,505","117,304"
960000,"0,00001",40000,5,5000,"0,4","0,5","0,1","80,417","115,403"
960000,"0,00001",50000,5,5000,"0,3","0,5","0,1","80,372","116,921"
960000,"0,00001",50000,5,5000,"0,3","0,5","0,1","80,417","115,316"
960000,"0,00001",40000,5,5000,"0,4","0,5","0,1","79,692","115,561"
960000,"0,00001",40000,5,5000,"0,4","0,5","0,1","80,1","114,305"
960000,"0,00001",40000,5,5000,"0,4","0,5","0,1","79,918","114,45"
960000,"0,00001",60000,5,5000,"0,3","0,5","0,1","81,868","122,3"
960000,"0,00001",60000,5,5000,"0,3","0,5","0,05","81,822","121,07"
